math_name	pred_name	var_name
商品コード	商品コード	code_prod
料率バージョン	料率バージョン	p_ver
型区分	型区分	code_type
給付限度型区分	給付限度型区分	code_paid_limit
手術給付金型区分	手術給付金型区分	code_op
基本給付金額倍率区分	基本給付金額倍率区分	code_s_ratio
項目_６大生活習慣病追加給付型区分	項目_6大生活習慣病追加給付型	code_the6add
保険料免除特約区分	保険料免除特約区分	code_p_exempt
年金支払保証期間区分	年金支払保証期間区分	code_pention_guara
保険料率区分	保険料率区分	code_pre_rate
高額割引区分	高額割引区分	code_high_discount
基本Ｓ２有無区分	基本S2有無区分	code_s2
無制限特則区分	無制限特則区分	code_unlimited
健康還付給付割合区分	健康還付給付割合区分	ratio_health_payback
健康還付給付金支払年齢	健康還付給付金支払年齢	age_health_payback
特定疾病保障型区分	特定疾病保障型区分	code_sp_dis_type
保険期間歳満期区分	保険期間歳満期区分	code_n
保険期間	保険期間	n_ins
払込期間歳満期区分	払込期間歳満期区分	code_m
払込期間	払込期間	m
被保険者年齢	被保険者年齢	age_ins
被保険者性別	被保険者性別	gender_ins
経過年数	経過年数	elap_year
算方Ｖ_入院Ｖ除き	算方Ｖ_入院Ｖ除き	v_regulation
標準Ｖ_ＮＥＴ_入院Ｖ除き	標準Ｖ_ＮＥＴ_入院Ｖ除き	v_net
標準Ｖ_５チル_入院Ｖ除き	標準Ｖ_５チル_入院Ｖ除き	v_5_z
標準Ｖ_全チル_入院Ｖ除き	標準Ｖ_全チル_入院Ｖ除き	v_whole_z
利源Ｖ_５チル_入院Ｖ除き	利源Ｖ_５チル_入院Ｖ除き	v_management
基本Ｓ	基本Ｓ	s1
基本Ｓ２	基本Ｓ２	s2
ＡＮＰ	ＡＮＰ	anp
払込回数	払込回数	payment_num
数理統計年月	数理統計年月	ym_base
契約年月	契約年月	ym_cont
契約日指定有無区分	契約日指定有無区分	code_designate_cont_date
数理レート調整係数_基本Ｓ算式	数理レート調整係数_基本Ｓ算式	rate_adjust_s1
数理レート調整係数_基本Ｓ２算式	数理レート調整係数_基本Ｓ２算式	rate_adjust_s2
件数	件数	N
契約状態	契約状態	code_pol_status
給付金相当累計額	給付金相当累計額	sigma_B
入院Ｖ	入院Ｖ	v_admission
未経過保険料	未経過保険料	unearned_premium
Ｐ免現価	Ｐ免現価	premium_present_value
普通死亡リスク対象金額	普通死亡リスク対象金額	risk1_amount
第三分野保険リスク対象金額１	第三分野保険リスク対象金額１	risk3_amount_1
第三分野保険リスク対象金額２	第三分野保険リスク対象金額２	risk3_amount_2
第三分野保険リスク対象金額３	第三分野保険リスク対象金額３	risk3_amount_3
第三分野保険リスク対象金額_Ｐ免特約	第三分野保険リスク対象金額_Ｐ免特約	risk3_amount_4
未経過Ｐ中のＬ_ＮＥＴ	未経過Ｐ中のＬ_ＮＥＴ	unearned_premium_l_net
未経過Ｐ中のＬ_５チル	未経過Ｐ中のＬ_５チル	unearned_premium_l_5_z
未経過Ｐ中のＲＰ_５チル１	未経過Ｐ中のＲＰ_５チル１	unearned_premium_rp_1
未経過Ｐ中のＲＰ_５チル２	未経過Ｐ中のＲＰ_５チル２	unearned_premium_rp_2
未経過Ｐ中のＲＰ_５チル_Ｐ免特約	未経過Ｐ中のＲＰ_５チル_Ｐ免特約	unearned_premium_rp_wp
未経過Ｐ中のＷＰ	未経過Ｐ中のＷＰ	unearned_premium_wp
